电影名,电影信息
盟约,2023-04-21(美国) / 杰克·吉伦哈尔 / 达尔·萨利姆 / 肖恩·萨加尔 / 杰森·王 / 里斯·耶茨 / 克里斯蒂安·奥乔亚·拉维尼亚 / 鲍比·斯科菲尔德 / 艾米丽·比查姆 / 约翰尼·李·米勒 / 亚历山大·路德韦格 / 礼萨·迪亚科 / 詹姆斯·尼尔森-乔伊斯...
鬼玩人崛起,2023-03-15(西南偏南电影节) / 2023-04-21(美国) / 莉莉·沙利文 / 阿丽莎·萨瑟兰 / 摩根·戴维斯 / 加布里埃尔·埃霍尔斯 / 内尔·费希尔 / 布鲁斯·坎贝尔 / 米拉拜·皮斯 / 理查德·克劳奇利 / 安娜玛丽·托马斯 / 诺亚·保罗 / 比利·雷诺兹-麦卡锡...
气垫传奇,2023-03-18(西南偏南电影节) / 2023-04-05(美国) / 马特·达蒙 / 杰森·贝特曼 / 本·阿弗莱克 / 克里斯·梅西纳 / 维奥拉·戴维斯 / 朱利叶斯·特农 / 达米安·德拉诺·杨 / 克里斯·塔克 / 马修·马希尔 / 古斯塔·斯卡斯加德 / 芭芭拉·苏科瓦...
雷恩菲尔德,2023-03-30(俯瞰电影节) / 2023-04-14(美国) / 尼古拉斯·霍尔特 / 尼古拉斯·凯奇 / 奥卡菲娜 / 本·施瓦茨 / 索瑞·安达斯鲁 / 布兰登·斯科特·琼斯 / 阿德里安·马丁斯 / 卡米利·陈 / 贝丝·劳斯 / 珍娜·凯内尔 / 丹雅·拉贝尔 / 朗达·约翰逊·邓茨...
母亲本色,2023-05-12(美国网络) / 詹妮弗·洛佩兹 / 露西·佩兹 / 欧玛瑞·哈德威克 / 约瑟夫·费因斯 / 盖尔·加西亚·贝纳尔 / 保罗·拉西 / 杰西·加西亚 / 伊冯娜·塞纳特·琼斯 / 埃迪·法可 / 迈克尔·卡尔·理查兹 / 林克·贝克 / 吉田真由美 / 瑞恩·考伊...
某个男人,2022-09-02(威尼斯电影节) / 2022-11-18(日本) / 妻夫木聪 / 安藤樱 / 洼田正孝 / 清野菜名 / 真岛秀和 / 小籔千丰 / 仲野太贺 / 真木阳子 / 柄本明 / 古关安广 / 河合优实 / 绪方义博 / 坂元爱登 / 山野海 / 矢柴俊博 / 茂吕师冈 / 岩川晴 / 池上季实子...
俄罗斯方块,2023-03-15(西南偏南电影节) / 2023-03-31(美国网络) / 塔伦·埃哲顿 / 迈尔斯·巴罗 / 尹成植 / 尼基塔·叶甫列莫夫 / 托比·琼斯 / 奥列格·斯特凡 / 罗杰·阿拉姆 / 安东尼·鲍伊 / 古畑新之 / 伊川东吾 / 長渕文音 / 伊戈尔·格拉布佐夫 / 山村宪之介...
下一个素熙,2022-05-25(戛纳电影节) / 2023-02-08(韩国) / 金时恩 / 裴斗娜 / 崔熙真 / 宋永世 / 金宇谦 / 郑会潾 / 朴佑荣 / 姜贤吾 / 李仁英 / 权多咸 / 韩国 / 郑朱莉 / 134分钟 / 下一个素熙 / 剧情 / 郑朱莉 July Jung / 韩语
蚁人与黄蜂女：量子狂潮,2023-02-15(法国) / 2023-02-17(美国/中国大陆) / 保罗·路德 / 伊万杰琳·莉莉 / 迈克尔·道格拉斯 / 米歇尔·菲佛 / 乔纳森·梅杰斯 / 凯瑟琳·纽顿 / 比尔·默瑞 / 凯蒂·M·奥布莱恩 / 威廉·杰克森·哈珀 / 詹姆斯·卡特勒 / 大卫·达斯马齐连...
教皇的驱魔人,2023-04-05(西班牙) / 2023-04-14(美国) / 罗素·克劳 / 丹尼尔·祖瓦图 / 艾丽克斯·埃索 / 弗兰科·内罗 / 彼得·德索萨 / 劳雷尔·马斯登 / 科内尔·约翰 / 瑞安·奥格雷迪 / 帕洛玛·布洛伊德 / 亚历山德罗·格鲁塔达乌里亚 / 里弗·霍金斯 /...
